Stock,Length of res_backtest[4]
000001.SZ,242
000002.SZ,242
000004.SZ,241
000006.SZ,242
000007.SZ,241
000008.SZ,242
000009.SZ,242
000010.SZ,242
000011.SZ,242
000012.SZ,242
000014.SZ,242
000016.SZ,242
000017.SZ,242
000019.SZ,242
000020.SZ,242
000021.SZ,242
000025.SZ,242
000026.SZ,242
000027.SZ,242
000028.SZ,242
000029.SZ,242
000030.SZ,242
000031.SZ,242
000032.SZ,242
000034.SZ,242
000035.SZ,242
000036.SZ,242
000037.SZ,242
000039.SZ,242
000040.SZ,242
000042.SZ,242
000045.SZ,239
000048.SZ,242
000049.SZ,236
000050.SZ,242
000055.SZ,242
000056.SZ,242
000058.SZ,242
000059.SZ,242
000060.SZ,242
000061.SZ,242
000062.SZ,242
000063.SZ,242
000065.SZ,242
000066.SZ,242
000068.SZ,242
000069.SZ,242
000070.SZ,242
000078.SZ,242
000088.SZ,242
000089.SZ,242
000090.SZ,242
000096.SZ,242
000099.SZ,242
000100.SZ,242
000151.SZ,242
000153.SZ,241
000155.SZ,242
000156.SZ,242
000157.SZ,242
000158.SZ,242
000159.SZ,242
000166.SZ,242
000301.SZ,242
000333.SZ,242
000338.SZ,242
000400.SZ,242
000401.SZ,242
000402.SZ,242
000403.SZ,242
000404.SZ,242
000407.SZ,242
000408.SZ,242
000409.SZ,242
000410.SZ,231
000411.SZ,241
000415.SZ,242
000417.SZ,242
000419.SZ,242
000420.SZ,242
000421.SZ,242
000422.SZ,242
000423.SZ,242
000425.SZ,242
000426.SZ,242
000428.SZ,242
000429.SZ,242
000430.SZ,242
000488.SZ,242
000498.SZ,242
000501.SZ,242
000503.SZ,242
000504.SZ,242
000505.SZ,242
000506.SZ,242
000507.SZ,242
000509.SZ,242
000510.SZ,242
000513.SZ,242
000514.SZ,242
000516.SZ,242
000517.SZ,242
000518.SZ,242
000519.SZ,242
000520.SZ,242
000521.SZ,242
000523.SZ,242
000524.SZ,242
000525.SZ,242
000526.SZ,242
000528.SZ,242
000529.SZ,242
000530.SZ,242
000531.SZ,242
000532.SZ,242
000533.SZ,242
000534.SZ,242
000536.SZ,242
000537.SZ,242
000538.SZ,242
000539.SZ,242
000541.SZ,242
000543.SZ,242
000544.SZ,242
000545.SZ,242
000546.SZ,240
000547.SZ,242
000548.SZ,242
