trade_date,open,high,low,close,vol
2022/7/1,21.34,21.38,20.56,20.86,401370.18
2022/7/4,20.86,21.07,20.65,20.87,337387.48
2022/7/5,20.93,21.33,20.18,20.42,542160.48
2022/7/6,20.42,20.68,19.94,20.2,329929.18
2022/7/7,20.14,20.17,19.73,19.77,405804.26
2022/7/8,19.82,20.09,19.75,19.8,356300.63
2022/7/11,19.83,19.88,19.38,19.73,302823.77
2022/7/12,20.4,20.66,19.98,20.39,679124.52
2022/7/13,20.49,20.85,19.92,20.24,566141.8
2022/7/14,20,20.38,19.88,20.03,370774.48
2022/7/15,20,20.15,19.51,19.56,402751.85
2022/7/18,19.55,19.96,19.46,19.82,331388.57
2022/7/19,19.85,20.31,19.78,20.3,413321.31
2022/7/20,20.39,20.44,20.1,20.17,294818.09
2022/7/21,20.15,21.57,20.09,21.45,915562.29
2022/7/22,21.3,21.75,20.7,21.1,514790.49
2022/7/25,20.9,21,20.37,20.52,334085.5
2022/7/26,20.5,20.9,20.48,20.74,280288.43
2022/7/27,20.67,20.91,20.44,20.49,245031.44
2022/7/28,20.56,20.64,20.08,20.19,372636.52
2022/7/29,20.22,20.36,19.49,19.53,515661.55
2022/8/1,19.45,19.78,19.03,19.63,324531.51
2022/8/2,19.5,19.53,18.63,19.12,445421.25
2022/8/3,19.07,19.32,18.61,18.8,325763.29
2022/8/4,18.91,19.1,18.61,18.98,274536.45
2022/8/5,18.98,19.79,18.97,19.72,422069.03
2022/8/8,19.7,20,19.59,19.73,233783.16
2022/8/9,19.72,19.78,19.39,19.54,185731.76
2022/8/10,19.45,19.62,19.14,19.18,209373.34
2022/8/11,19.36,19.92,19.33,19.89,347718.74
2022/8/12,19.95,20.5,19.82,20.18,405816.6
2022/8/15,20.08,20.27,19.88,19.93,242080.81
2022/8/16,19.93,19.99,19.69,19.91,250410.87
2022/8/17,19.92,20.44,19.73,20.25,326192.05
2022/8/18,20.09,20.18,19.5,19.54,348104.45
2022/8/19,19.5,20.3,19.42,19.94,449127.04
2022/8/22,19.92,20.58,19.38,20.55,472516.69
2022/8/23,20.57,20.63,20.26,20.44,234357.03
2022/8/24,20.35,20.85,20.07,20.18,296758.44
2022/8/25,20.25,20.39,19.65,20.32,240545.42
2022/8/26,20.3,20.42,19.9,20.02,241033.42
2022/8/29,19.7,19.89,19.43,19.7,247740.93
2022/8/30,19.7,20.45,19.63,20.17,301809.77
2022/8/31,20.38,21.09,20.29,20.37,541892.81
2022/9/1,20.37,20.48,19.91,20.06,326247.66
2022/9/2,20.08,20.56,19.92,20.28,261791.44
