trade_date,open,high,low,close,vol
2022/7/1,81.33,86.91,79.14,84.52,409837.16
2022/7/4,85,85.82,76.81,83.01,422316.09
2022/7/5,84.87,89,78.01,78.94,582127.83
2022/7/6,77,78.44,74.95,77.6,412287.19
2022/7/7,77.8,82.99,77.02,81.33,416363.41
2022/7/8,82.3,82.45,78.1,78.49,243749.52
2022/7/11,77.85,77.99,73.3,74.5,287755.36
2022/7/12,75.9,76.61,72.79,74.7,236085.33
2022/7/13,74.01,75.9,72,73.91,207977.35
2022/7/14,73.12,76.73,72.8,75.6,221388.84
2022/7/15,75,78.86,73.88,73.94,284798.68
2022/7/18,74.51,77.68,74.08,75.2,216648.3
2022/7/19,75.42,76.68,73.33,73.92,190267.02
2022/7/20,73.13,74.36,72.47,73.23,152721.25
2022/7/21,73,73.47,70.55,71.01,170398.21
2022/7/22,71,72.8,70.93,72.06,152155.33
2022/7/25,71.3,73.1,69.1,72.88,179828.26
2022/7/26,73.01,75.7,72.29,73.65,211968.03
2022/7/27,72.62,74.32,71.52,73,136317.22
2022/7/28,74.2,75.55,71.5,73.42,218524.94
2022/7/29,73,78.86,72.4,76.4,280940.39
2022/8/1,75.9,81.58,74.91,81.03,407049.73
2022/8/2,78,78.18,74.56,74.56,337438.78
2022/8/3,75,77.24,70.12,70.91,314154.58
2022/8/4,71.08,72,66.14,68.1,269003.63
2022/8/5,68.11,68.44,66.6,67.38,169350.79
2022/8/8,66.65,67.95,64.85,66.75,138174.91
2022/8/9,67,67.91,66,66.32,166834.34
2022/8/10,65.23,67.86,64.69,64.8,175754.04
2022/8/11,64.85,65.77,63.63,65.22,187476.53
2022/8/12,64.96,65.45,64,64.15,101671.5
2022/8/15,63.88,67.66,63.66,66.35,195292.04
2022/8/16,66.31,67.6,65.21,66.32,159133.48
2022/8/17,65.63,68.21,65.15,67.59,167889.78
2022/8/18,67.86,68.14,65.01,65.31,171539.83
2022/8/19,64.7,65.31,62.83,63.58,159087.07
2022/8/22,63.39,67.07,62.6,66.82,215910.62
2022/8/23,66.83,66.83,65.03,65.61,120409.99
2022/8/24,65.25,65.94,61.6,61.99,170605.66
2022/8/25,62.7,64.07,61.89,63.99,153061.47
2022/8/26,64,66.85,63.69,65.53,158492.34
2022/8/29,66.8,67.38,65.6,66.33,147777.76
2022/8/30,65.9,66.99,65.25,66.34,84326.4
2022/8/31,66,68.11,60.8,61.8,257619.75
2022/9/1,61.8,65.7,60.66,64.52,182534.63
2022/9/2,66.2,68.1,63.81,65.07,226430.4
2022/9/5,64.11,65.1,62.5,64.26,136963.67
2022/9/6,65,66.98,64.5,65.89,168137.69
2022/9/7,66.68,67.88,66,66.96,163092.19
2022/9/8,67.09,67.7,65.1,65.1,112791.27
2022/9/9,64.84,66.77,64.45,65.63,82977.94
2022/9/13,66.3,70.91,66.1,69.67,243078.77
2022/9/14,68.69,70.54,67.65,68.89,194462.51
2022/9/15,69.2,69.49,63.24,63.34,268265.67
2022/9/16,63.45,64.77,61.66,63.08,115074.94
2022/9/19,63.34,69.39,63.26,67.35,337812
2022/9/20,67.93,69.48,67.7,68.16,198420.41
2022/9/21,66.9,68.17,66.11,67.8,137451.91
2022/9/22,66.28,67.71,64.5,65.9,144419.36
2022/9/23,65.15,65.94,62.1,63.25,173850.53
2022/9/26,62.22,64.86,61.82,63.78,128329.56
2022/9/27,64.6,64.85,62.4,63.99,100015.54
2022/9/28,63.12,63.65,60.33,60.63,129203.92
2022/9/29,61.59,61.65,57,58.08,163611.68
2022/9/30,57.11,57.88,55.26,55.26,136005.07
2022/10/10,52,52.67,49.73,49.73,194825.57
2022/10/11,48.2,50.5,47.3,50.07,175333.84
2022/10/12,50.31,52.65,49.79,52.49,176079.37
2022/10/13,51.81,53.32,51.41,51.87,117080.97
2022/10/14,52.52,55.09,52.52,54.44,166312.36
2022/10/17,53.61,54.61,52.25,53.71,127778.49
2022/10/18,55.08,55.95,53.29,53.39,117079.79
2022/10/19,52.89,54.68,52.55,52.98,96739.36
2022/10/20,52,52.97,50.84,52.26,97380.02
2022/10/21,52.4,52.45,50.77,50.96,81722.71
2022/10/24,50.55,51.73,48.95,49.45,116732.97
2022/10/25,49.57,51.2,48.5,50.32,132824.25
2022/10/26,50.38,51.1,49.5,50.24,103817.76
2022/10/27,50.23,50.98,48.71,48.71,120323.67
2022/10/28,48.2,48.65,45.9,46.33,173867.45
2022/10/31,46.33,47,45.66,46.17,105959.85
2022/11/1,46.9,47.53,45.92,47.36,146023.26
2022/11/2,47.42,52.1,47.21,52.1,231878.52
2022/11/3,52,54.65,51.33,52.2,261689.18
2022/11/4,51.79,57.42,51.69,57.42,394889.61
2022/11/7,57.42,57.93,55.58,56.69,271918
2022/11/8,56.27,57.5,54.91,55.5,157292.7
2022/11/9,55.69,57,54.52,54.8,151360.99
2022/11/10,53.3,53.98,52.4,53.5,152493.86
2022/11/11,56,56.7,53.16,54.25,225665.36
2022/11/14,53.5,55.19,51.87,52.3,161198.84
2022/11/15,52.06,54.14,51.51,53.93,182754.78
2022/11/16,53.79,55.24,52.83,53.01,137806.8
2022/11/17,52.45,52.85,50.18,50.98,179810.06
2022/11/18,50.98,51.2,49.03,49.07,174415.77
2022/11/21,48.11,50.88,47.7,50.34,197840.26
2022/11/22,50,50,48.29,48.4,148734.4
2022/11/23,48.4,48.85,46.66,47.2,170484.36
2022/11/24,47.64,48.49,47.18,47.5,142998.73
2022/11/25,47.5,47.5,45.65,45.8,178654.69
2022/11/28,44.5,45.59,43.91,45.12,119888.48
2022/11/29,45.31,47.24,45.02,47,172798.85
2022/11/30,46.99,51.7,46.52,50.25,458669.34
2022/12/1,52.3,53.88,48.8,48.86,364230.24
2022/12/2,47.75,48.1,46,46.42,305036.55
2022/12/5,47.1,47.87,46.13,46.44,234313.07
2022/12/6,46,47.9,45.58,46.83,192498.29
2022/12/7,46.8,49.5,46.79,47.98,280144.43
2022/12/8,47.99,49.18,47.41,47.86,162467.31
2022/12/9,48.01,48.38,47.1,47.69,121654.28
2022/12/12,47.3,47.3,46.35,46.56,109261.11
2022/12/13,46.39,47.83,45.62,45.7,165071.83
2022/12/14,45.25,46.06,45,45.52,104237.99
2022/12/15,45.7,47.39,45.31,47.31,211202.63
2022/12/16,46.81,46.85,44.6,44.8,199179.58
2022/12/19,44.95,47.8,44.95,45.8,253984.79
2022/12/20,45.18,45.36,43.94,44.74,178400.08
2022/12/21,44.5,44.87,43.36,43.73,131116.4
2022/12/22,44.15,45.23,43.61,43.7,158787.63
2022/12/23,42.68,42.82,40.83,41.71,219790.03
2022/12/26,41.45,43.88,41.36,43.86,201497.46
2022/12/27,43.9,44.26,42.8,44,124229.03
2022/12/28,43,43.22,41.5,41.6,206058.06
