trade_date,open,high,low,close,vol
2022-01-04,63.71,64.48,63.08,63.55,265367.95
2022-01-05,63.44,63.92,59.1,59.78,399236.33
2022-01-06,59.2,60.19,57.2,58.3,299851.05
2022-01-07,58.3,58.77,56.0,56.18,276454.93
2022-01-10,55.5,56.1,54.74,55.59,232369.76
2022-01-11,55.97,56.17,52.44,52.75,396040.37
2022-01-12,53.15,54.68,52.91,54.46,252481.93
2022-01-13,54.47,54.52,52.89,53.2,172912.25
2022-01-14,53.29,54.15,52.7,52.8,172127.55
2022-01-17,52.5,53.81,51.9,53.5,226323.82
2022-01-18,53.3,54.93,52.88,53.75,221582.72
2022-01-19,53.7,53.71,51.08,52.0,252714.42
2022-01-20,52.0,52.28,50.31,50.76,308341.98
2022-01-21,49.95,50.49,48.66,50.23,402150.99
2022-01-24,50.06,50.85,49.6,50.15,186112.17
2022-01-25,50.49,51.69,48.93,49.0,232500.61
2022-01-26,49.01,50.5,49.01,50.38,234114.23
2022-01-27,50.06,50.47,48.8,48.87,163482.16
2022-01-28,49.21,49.9,47.58,48.18,201214.38
2022-02-07,49.1,49.46,47.74,48.15,185994.27
2022-02-08,48.51,48.66,46.44,48.19,177921.3
2022-02-09,48.18,49.76,47.77,49.5,235146.61
2022-02-10,49.5,50.3,48.95,49.69,184392.44
2022-02-11,49.49,49.85,47.87,48.03,175186.33
2022-02-14,47.98,49.1,47.2,47.55,240692.72
2022-02-15,47.56,49.32,47.45,49.28,206824.99
2022-02-16,48.77,48.8,47.8,48.0,202914.97
2022-02-17,47.85,48.79,47.34,48.36,207968.95
2022-02-18,48.2,48.21,47.51,48.17,111982.06
2022-02-21,48.31,48.91,47.5,47.86,144567.27
2022-02-22,48.38,48.58,46.83,47.19,189232.38
2022-02-23,46.9,49.53,46.71,49.2,342812.23
2022-02-24,48.79,53.0,48.55,50.07,630940.92
2022-02-25,49.14,50.5,48.45,50.04,296594.54
2022-02-28,50.85,51.85,50.06,50.52,267694.71
2022-03-01,51.0,52.45,50.51,51.81,334731.87
2022-03-02,51.7,51.85,50.8,51.31,193486.93
2022-03-03,51.33,51.33,49.9,50.02,183964.99
2022-03-04,49.84,50.38,47.59,48.05,255797.82
2022-03-07,48.75,48.93,46.88,47.18,221463.54
2022-03-08,46.9,47.55,44.46,44.51,280531.47
2022-03-09,44.51,44.89,40.3,42.76,473082.92
2022-03-10,43.7,44.37,42.87,43.47,318878.53
2022-03-11,43.0,44.18,42.59,44.13,221619.6
2022-03-14,43.88,47.03,43.68,45.47,355553.38
2022-03-15,44.99,46.45,43.95,44.05,270416.21
2022-03-16,44.8,45.48,42.82,45.41,275178.4
2022-03-17,45.67,46.55,45.28,45.56,271863.54
2022-03-18,45.2,45.45,44.26,45.0,153820.32
2022-03-21,45.08,45.92,44.5,45.12,167474.85
2022-03-22,45.65,46.08,44.18,44.42,162400.22
2022-03-23,44.38,46.64,43.88,46.17,353547.55
2022-03-24,45.5,46.3,45.43,45.57,166241.02
2022-03-25,45.77,47.44,45.53,45.59,291954.15
2022-03-28,44.99,45.04,43.56,44.15,192263.82
2022-03-29,44.72,47.3,44.69,45.3,397988.76
2022-03-30,45.54,46.7,44.96,46.2,194699.05
2022-03-31,45.82,46.06,44.38,44.9,186580.42
2022-04-01,44.5,45.08,44.16,44.35,147049.79
2022-04-06,44.37,44.44,42.24,42.9,238613.0
2022-04-07,42.9,44.1,42.66,42.95,168595.18
2022-04-08,43.0,43.25,41.5,41.86,240864.9
2022-04-11,40.8,40.8,38.71,39.2,460086.47
2022-04-12,39.0,39.45,37.45,38.58,355921.28
2022-04-13,38.35,38.5,37.7,37.85,178865.58
2022-04-14,38.0,38.28,37.56,38.08,199728.69
2022-04-15,38.0,38.5,37.5,38.0,205080.5
2022-04-18,37.68,39.09,37.34,38.98,219803.12
2022-04-19,38.8,39.65,38.7,39.07,174330.08
2022-04-20,39.07,39.3,38.21,38.44,130113.24
2022-04-21,38.36,39.31,37.06,37.39,171856.16
2022-04-22,36.98,37.49,36.41,36.66,149237.12
2022-04-25,35.8,36.07,33.96,33.97,270850.12
2022-04-26,33.7,33.9,32.05,32.55,281436.02
2022-04-27,31.92,35.18,31.7,34.83,345851.42
2022-04-28,34.85,36.28,34.51,35.33,221746.16
2022-04-29,36.04,37.88,35.44,37.78,309819.04
2022-05-05,37.69,39.8,37.0,38.89,357048.76
2022-05-06,37.8,39.46,37.68,39.09,198545.9
2022-05-09,39.01,40.57,38.86,39.85,212550.47
2022-05-10,39.02,40.18,39.01,39.84,226475.33
2022-05-11,40.29,40.73,38.55,38.97,288545.9
2022-05-12,38.58,40.1,38.58,39.38,183594.72
2022-05-13,39.73,39.77,38.6,39.12,123730.25
2022-05-16,39.72,40.22,38.6,38.76,162978.28
2022-05-17,38.77,39.76,38.17,39.45,132237.12
2022-05-18,39.65,39.96,38.84,39.5,154441.82
2022-05-19,38.76,39.72,38.3,39.61,140894.91
2022-05-20,39.78,40.07,39.08,39.68,155716.63
2022-05-23,39.64,39.64,38.43,39.2,178067.85
2022-05-24,39.3,40.7,37.89,38.02,354194.18
2022-05-25,37.51,38.99,37.47,38.6,230040.86
2022-05-26,38.49,41.18,38.49,40.05,526193.24
2022-05-27,40.28,40.74,39.0,39.44,267637.29
2022-05-30,39.69,39.85,38.86,39.36,206276.83
2022-05-31,39.34,39.88,38.79,39.53,228332.66
2022-06-01,39.55,41.14,39.33,40.16,340278.47
