ts_code,x,y
000001.SZ,7.851705,-5.8931527
000002.SZ,5.1803055,-6.2316523
000004.SZ,-6.248332,0.78582996
000006.SZ,-9.600201,3.9479399
000007.SZ,-4.9130187,6.883146
000008.SZ,6.4296703,4.8466787
000009.SZ,4.8787136,-13.1442175
000010.SZ,8.583429,-6.799253
000011.SZ,1.1253891,0.447501
000012.SZ,4.3028846,-15.155512
000014.SZ,-7.9870625,5.4485483
000016.SZ,0.19010429,-5.4456496
000017.SZ,17.033058,2.4117644
000019.SZ,-3.926604,4.7982745
000020.SZ,-2.672432,17.828526
000021.SZ,0.88467157,20.196417
000025.SZ,-0.6100557,12.842545
000026.SZ,16.592358,2.0684505
000027.SZ,-2.9894123,4.1477
000028.SZ,-8.452373,0.85292745
000029.SZ,-7.29359,8.229517
000030.SZ,-10.79991,-1.1762583
000031.SZ,-9.044246,1.2972232
000032.SZ,-13.025619,3.6103666
000034.SZ,-8.032753,8.017718
000035.SZ,-3.810175,7.461464
000036.SZ,-8.571281,0.60739356
000037.SZ,-3.9179862,5.13428
000039.SZ,8.230297,-8.54511
000040.SZ,2.007302,-12.325133
000042.SZ,-10.402591,-3.6833801
000045.SZ,0.5822821,19.892414
000048.SZ,-8.399852,0.8917292
000049.SZ,1.4049317,-15.777767
000050.SZ,6.590573,22.460629
000055.SZ,-3.5384011,3.9299264
000056.SZ,-1.3015875,2.7889667
000058.SZ,-3.3574374,13.055231
000059.SZ,9.431404,-3.9065902
000060.SZ,-8.447651,0.6288664
000061.SZ,-4.1995707,5.1874037
000062.SZ,-2.6705534,17.867388
000063.SZ,-10.492193,-0.33457735
000065.SZ,-0.48952544,7.8344073
000066.SZ,9.078239,-3.3417058
000068.SZ,-10.01217,5.6590886
000069.SZ,4.8791804,-6.523389
000070.SZ,-11.267722,-4.4255524
000078.SZ,-8.201855,0.3984226
000088.SZ,6.841588,2.408473
000089.SZ,0.05381046,-2.1797345
000090.SZ,7.3985558,-5.3793087
