ts_code,name,area,industry,list_date,industry_embedding,mean_price,std_price,mean_log_return,std_log_return
000001.SZ,平安银行,深圳,银行,19910403,6.138913,12.83681879,2.737276765,-0.000602576,0.017483285
000002.SZ,万科A,深圳,全国地产,19910129,5.7559533,14.6717047,4.566933151,-0.001151381,0.024274891
000004.SZ,国华网安,深圳,软件服务,19910114,5.631536,13.78402423,4.214295762,-0.000304728,0.037858636
000006.SZ,深振业A,深圳,区域地产,19920427,5.6866717,4.490590604,0.582191517,0.000140741,0.027482665
000007.SZ,全新好,深圳,其他商业,19920413,5.4766254,5.855754717,1.45707355,0.000547186,0.025158051
000008.SZ,神州高铁,北京,运输设备,19920507,6.052139,2.362818792,0.203827886,-4.17266E-05,0.023511862
000009.SZ,中国宝安,深圳,电气设备,19910625,6.2462397,12.26263087,2.897034784,-0.00142809,0.02679298
000010.SZ,美丽生态,深圳,建筑工程,19951027,6.1645865,3.051288591,0.756698903,-0.000843999,0.03304393
000011.SZ,深物业A,深圳,房产服务,19920330,5.6273594,10.11406711,1.508536986,-0.000402386,0.025235088
000012.SZ,南玻A,深圳,玻璃,19920228,6.2391744,6.723812081,1.51158829,-0.000975883,0.019693024
000014.SZ,沙河股份,深圳,全国地产,19920602,5.7559533,9.943369128,1.811373359,0.000490983,0.031942692
000016.SZ,深康佳A,深圳,家用电器,19920327,6.388499,4.600149254,1.197774478,-0.001265432,0.025778669
000017.SZ,深中华A,深圳,服饰,19920331,3.6204495,4.952375839,1.853136144,0.000670558,0.032572274
000019.SZ,深粮控股,深圳,农业综合,19921012,5.4254327,7.246147651,0.702990773,-0.000100674,0.020377185
000020.SZ,深华发A,深圳,元器件,19920428,-1.3768502,10.65249664,1.842647025,0.000618113,0.032579203
000021.SZ,深科技,深圳,元器件,19940202,-1.3768502,14.37944966,2.861194031,-9.06469E-05,0.027617746
000025.SZ,特力A,深圳,综合类,19930621,1.0376348,16.63915436,3.073614988,4.30074E-05,0.028938901
000026.SZ,飞亚达,深圳,服饰,19930603,3.6204495,10.65614765,1.129386457,-0.000342079,0.021622099
000027.SZ,深圳能源,深圳,火力发电,19930903,5.2891226,6.68633557,0.771542318,-0.000305416,0.017751625
000028.SZ,国药一致,深圳,医药商业,19930809,5.7104278,33.92967785,6.599227912,-0.00023568,0.023843616
000029.SZ,深深房A,深圳,区域地产,19930915,5.6866717,10.3984698,1.822472862,0.001071268,0.028977081
000030.SZ,富奥股份,吉林,汽车配件,19930929,5.914197,5.387315436,0.763498448,-0.000306518,0.022317652
000031.SZ,大悦城,深圳,全国地产,19931008,5.7559533,3.43885906,0.563499208,-0.000165635,0.02388233
000032.SZ,深桑达A,深圳,建筑工程,19931028,6.1645865,20.83867114,6.54494414,-0.000228012,0.034037158
000034.SZ,神州数码,深圳,软件服务,19940509,5.631536,23.10102013,5.941334684,0.000744508,0.031818666
000035.SZ,中国天楹,江苏,环境保护,19940408,5.655056,5.069261745,0.610899097,1.74182E-05,0.026213789
000036.SZ,华联控股,深圳,全国地产,19940617,5.7559533,3.848040268,0.494490259,-0.000331317,0.021707615
000037.SZ,深南电A,深圳,火力发电,19940701,5.2891226,8.242040268,1.222758152,-2.93623E-05,0.033210983
000039.SZ,中集集团,深圳,运输设备,19940408,6.052139,10.08626846,3.770516391,-0.001113355,0.025237088
000040.SZ,ST旭蓝,深圳,新型电力,19940808,5.62262,3.554757143,0.822289329,-0.001453391,0.03053733
000042.SZ,中洲控股,深圳,全国地产,19940921,5.7559533,7.102577181,1.770922035,-0.000607507,0.031346767
000045.SZ,深纺织A,深圳,元器件,19940815,-1.3768502,9.394112022,1.474278661,-2.61456E-05,0.029504334
000048.SZ,京基智农,深圳,区域地产,19941101,5.6866717,18.46080537,2.337383634,-0.000228948,0.021986811
000049.SZ,德赛电池,深圳,电气设备,19950320,6.2462397,36.4802977,10.34506045,-0.000567283,0.032097724
000050.SZ,深天马A,深圳,元器件,19950315,-1.3768502,9.690469799,1.736537517,-0.000874842,0.019276011
000055.SZ,方大集团,深圳,其他建材,19960415,5.5222344,4.54409396,0.54088415,-0.000215381,0.021024604
000056.SZ,皇庭国际,深圳,其他商业,19960708,5.4766254,4.130402685,1.634829033,-0.000584362,0.039402886
000058.SZ,深赛格,深圳,商品城,19961226,0.41456166,6.360979866,0.731953294,0.000208186,0.030975538
000059.SZ,华锦股份,辽宁,石油加工,19970130,5.969803,6.257409396,1.180437373,-0.000658879,0.026396863
000060.SZ,中金岭南,深圳,铅锌,19970123,5.7158103,4.643154362,0.463698443,-0.000294042,0.020008118
000061.SZ,农产品,深圳,农业综合,19970110,5.4254327,6.04833557,0.522254902,-4.57951E-06,0.018875948
000062.SZ,深圳华强,深圳,元器件,19970130,-1.3768502,12.71026846,3.816025515,0.000741525,0.02753767
000063.SZ,中兴通讯,深圳,通信设备,19971118,5.876211,28.7697047,5.007886406,-0.000218533,0.023878449
000065.SZ,北方国际,北京,建筑工程,19980605,6.1645865,10.67274696,2.767062986,0.000237109,0.030470265
