ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301536.SZ,2024/03/28,48.0,53.87,42.03,48.1,16.16,31.94,197.6485,277008.89,1249070.395
301536.SZ,2024/03/29,48.1,48.94,41.55,41.72,48.1,-6.38,-13.264,218756.57,977384.855
301536.SZ,2024/04/01,43.02,46.87,42.54,43.6,41.72,1.88,4.5062,201605.59,893403.263
301536.SZ,2024/04/02,41.5,42.87,39.25,39.55,43.6,-4.05,-9.289,178857.27,727920.062
301536.SZ,2024/04/03,40.11,41.69,39.02,39.02,39.55,-0.53,-1.3401,133774.58,538355.674
301536.SZ,2024/04/08,38.48,40.17,37.4,39.56,39.02,0.54,1.3839,119678.35,467203.767
301536.SZ,2024/04/09,38.75,39.88,38.46,38.88,39.56,-0.68,-1.7189,89247.21,348281.252
301536.SZ,2024/04/10,39.59,40.44,38.42,38.53,38.88,-0.35,-0.9002,97766.39,384960.8
301536.SZ,2024/04/11,37.15,38.53,36.42,36.61,38.53,-1.92,-4.9831,93294.45,348373.218
301536.SZ,2024/04/12,37.15,38.99,37.02,37.89,36.61,1.28,3.4963,103919.52,394977.622
301536.SZ,2024/04/15,38.8,39.57,34.58,35.57,37.89,-2.32,-6.123,110807.05,413213.551
301536.SZ,2024/04/16,34.67,35.4,31.0,31.3,35.57,-4.27,-12.0045,99167.83,328425.953
301536.SZ,2024/04/17,32.13,34.3,32.13,33.95,31.3,2.65,8.4665,84469.1,282602.381
301536.SZ,2024/04/18,33.27,34.65,32.4,33.7,33.95,-0.25,-0.7364,68266.34,229409.303
301536.SZ,2024/04/19,33.73,35.38,32.65,32.85,33.7,-0.85,-2.5223,61707.48,208234.084
301536.SZ,2024/04/22,32.0,33.47,31.19,32.98,32.85,0.13,0.3957,51241.58,166172.583
301536.SZ,2024/04/23,32.9,34.38,32.9,33.49,32.98,0.51,1.5464,53439.14,179714.407
301536.SZ,2024/04/24,33.3,34.15,32.7,34.0,33.49,0.51,1.5228,52669.88,177424.159
