ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600702.SH,2021/09/01,182.71,196.0,178.18,194.7,186.0,8.7,4.6774,165537.33,3132255.4
600702.SH,2021/09/02,193.0,199.0,186.1,187.23,194.7,-7.47,-3.8367,121782.28,2324244.781
600702.SH,2021/09/03,183.0,190.52,182.11,186.0,187.23,-1.23,-0.6569,103540.23,1925649.428
600702.SH,2021/09/06,185.0,200.5,182.2,196.7,186.0,10.7,5.7527,168322.25,3273677.652
600702.SH,2021/09/07,195.6,204.0,193.44,198.13,196.7,1.43,0.727,128676.88,2554535.287
600702.SH,2021/09/08,197.85,199.8,189.0,190.58,198.13,-7.55,-3.8106,113073.52,2179589.037
600702.SH,2021/09/09,189.0,193.5,188.0,191.0,190.58,0.42,0.2204,77064.92,1466440.943
600702.SH,2021/09/10,191.94,195.5,189.33,192.81,191.0,1.81,0.9476,89472.73,1727643.77
600702.SH,2021/09/13,192.99,196.58,188.43,189.86,192.81,-2.95,-1.53,81087.54,1555429.919
600702.SH,2021/09/14,189.37,193.71,188.1,188.36,189.86,-1.5,-0.7901,75206.21,1430349.365
600702.SH,2021/09/15,185.2,187.0,178.85,180.97,188.36,-7.39,-3.9233,138423.87,2509392.762
600702.SH,2021/09/16,179.0,182.5,172.58,173.15,180.97,-7.82,-4.3212,135550.12,2388956.096
600702.SH,2021/09/17,172.0,187.0,170.02,183.81,173.15,10.66,6.1565,178347.36,3215307.725
600702.SH,2021/09/22,182.98,191.88,182.08,185.15,183.81,1.34,0.729,140618.51,2626542.071
600702.SH,2021/09/23,187.49,203.67,184.4,200.88,185.15,15.73,8.4958,243730.87,4829995.092
600702.SH,2021/09/24,198.98,212.12,198.0,203.98,200.88,3.1,1.5432,151482.98,3118398.804
600702.SH,2021/09/27,208.07,220.0,206.02,212.55,203.98,8.57,4.2014,211762.36,4517081.866
600702.SH,2021/09/28,207.0,209.55,194.97,204.02,212.55,-8.53,-4.0132,129748.58,2627400.146
600702.SH,2021/09/29,206.88,214.0,201.52,206.05,204.02,2.03,0.995,126424.88,2627901.895
600702.SH,2021/09/30,205.5,212.0,202.44,206.4,206.05,0.35,0.1699,99216.07,2059724.722
600702.SH,2021/10/08,207.01,225.35,206.68,218.52,206.4,12.12,5.8721,173277.57,3789420.736
600702.SH,2021/10/11,220.2,225.1,210.5,211.83,218.52,-6.69,-3.0615,133928.14,2905284.473
600702.SH,2021/10/12,210.58,217.68,209.0,214.5,211.83,2.67,1.2604,101152.62,2156357.462
600702.SH,2021/10/13,214.0,224.45,211.23,219.41,214.5,4.91,2.289,133213.42,2913821.206
600702.SH,2021/10/14,217.0,221.61,203.0,209.0,219.41,-10.41,-4.7445,178822.22,3766028.441
600702.SH,2021/10/15,205.22,209.99,203.88,209.83,209.0,0.83,0.3971,87020.0,1805984.492
600702.SH,2021/10/18,204.0,204.0,188.85,188.85,209.83,-20.98,-9.9986,195807.76,3754086.283
600702.SH,2021/10/19,182.0,190.68,181.96,187.12,188.85,-1.73,-0.9161,156778.06,2934418.851
600702.SH,2021/10/20,189.88,195.01,184.21,193.31,187.12,6.19,3.308,127442.56,2432384.226
600702.SH,2021/10/21,196.94,196.94,192.01,195.71,193.31,2.4,1.2415,85043.16,1657070.581
600702.SH,2021/10/22,195.0,201.88,191.2,195.69,195.71,-0.02,-0.0102,132829.99,2612104.148
