ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
836422.BJ,2021/10/12,8.44,8.5,8.44,8.5,16.88,-8.38,-49.6445,20.0,16.94
836422.BJ,2021/11/08,16.0,16.0,15.99,15.99,8.5,7.49,88.1176,2.0,3.199
836422.BJ,2021/11/10,15.98,15.98,15.98,15.98,15.99,-0.01,-0.0625,2.0,3.196
836422.BJ,2021/11/26,15.98,15.98,15.98,15.98,15.98,0.0,0.0,3.0,4.794
836422.BJ,2021/11/29,16.0,16.0,15.98,15.98,15.98,0.0,0.0,12.0,19.19
836422.BJ,2021/11/30,15.98,15.98,15.98,15.98,15.98,0.0,0.0,10.0,15.98
836422.BJ,2021/12/16,15.98,15.98,15.98,15.98,15.98,0.0,0.0,1.0,1.598
836422.BJ,2021/12/28,15.88,15.88,15.88,15.88,15.98,-0.1,-0.6258,1.0,1.588
836422.BJ,2021/12/29,15.88,15.88,15.88,15.88,15.88,0.0,0.0,9.0,14.292
836422.BJ,2021/12/30,15.88,15.9,15.81,15.81,15.88,-0.07,-0.4408,18.0,28.52
836422.BJ,2022/01/10,15.98,15.98,15.88,15.88,15.81,0.07,0.4428,9.16,14.576
836422.BJ,2022/01/11,15.88,15.88,15.88,15.88,15.88,0.0,0.0,2.0,3.176
836422.BJ,2022/01/17,15.88,15.9,15.88,15.9,15.88,0.02,0.1259,14.5,23.042
836422.BJ,2022/01/18,14.9,14.91,14.9,14.91,15.9,-0.99,-6.2264,14.34,21.376
836422.BJ,2022/01/19,14.91,14.91,14.91,14.91,14.91,0.0,0.0,10.0,14.91
836422.BJ,2022/01/20,15.5,15.5,15.5,15.5,14.91,0.59,3.9571,2.0,3.1
836422.BJ,2022/01/21,15.5,15.5,15.5,15.5,15.5,0.0,0.0,2.0,3.1
836422.BJ,2022/01/24,15.88,15.88,15.88,15.88,15.5,0.38,2.4516,10.0,15.88
836422.BJ,2022/01/25,14.55,14.55,14.55,14.55,15.88,-1.33,-8.3753,10.0,14.55
836422.BJ,2022/01/26,14.53,14.55,14.53,14.55,14.55,0.0,0.0,12.0,17.44
836422.BJ,2022/01/27,14.0,14.0,14.0,14.0,14.55,-0.55,-3.7801,3.0,4.2
836422.BJ,2022/02/09,14.6,14.6,14.6,14.6,14.0,0.6,4.2857,2.0,2.92
836422.BJ,2022/02/10,13.15,13.15,13.15,13.15,14.6,-1.45,-9.9315,1.0,1.315
836422.BJ,2022/02/11,14.11,14.11,13.22,13.22,13.15,0.07,0.5323,3.0,4.144
836422.BJ,2022/02/15,14.65,14.65,14.65,14.65,13.22,1.43,10.8169,2.0,2.93
836422.BJ,2022/02/16,14.03,14.03,14.03,14.03,14.65,-0.62,-4.2321,1.0,1.403
836422.BJ,2022/02/17,19.21,21.93,19.21,21.93,14.03,7.9,56.3079,2.0,4.114
836422.BJ,2022/02/18,15.5,15.5,15.07,15.5,21.93,-6.43,-29.3206,11.5,17.726
836422.BJ,2022/02/21,25.25,25.25,15.41,15.41,15.5,-0.09,-0.5806,5.0,9.967
836422.BJ,2022/02/22,15.55,15.55,15.55,15.55,15.41,0.14,0.9085,8.0,12.44
836422.BJ,2022/02/23,15.21,15.21,15.21,15.21,15.55,-0.34,-2.1865,1.0,1.521
836422.BJ,2022/02/24,15.12,15.12,15.12,15.12,15.21,-0.09,-0.5917,1.0,1.512
836422.BJ,2022/02/25,14.02,14.53,14.02,14.53,15.12,-0.59,-3.9021,2.0,2.855
836422.BJ,2022/02/28,14.05,14.05,14.05,14.05,14.53,-0.48,-3.3035,1.0,1.405
836422.BJ,2022/03/01,14.01,14.03,14.01,14.03,14.05,-0.02,-0.1423,5.0,7.009
836422.BJ,2022/03/04,14.02,14.02,14.02,14.02,14.03,-0.01,-0.0713,3.0,4.206
836422.BJ,2022/03/11,14.01,14.01,14.01,14.01,14.02,-0.01,-0.0713,5.0,7.005
836422.BJ,2022/03/23,11.34,11.34,11.34,11.34,14.01,-2.67,-19.0578,1.16,1.315
836422.BJ,2022/03/31,12.01,12.01,12.01,12.01,11.34,0.67,5.9083,1.0,1.201
836422.BJ,2022/04/01,14.56,14.56,14.56,14.56,12.01,2.55,21.2323,1.0,1.456
836422.BJ,2022/04/29,8.88,8.88,8.88,8.88,14.56,-5.68,-39.011,1.0,0.888
836422.BJ,2022/05/06,9.0,9.0,9.0,9.0,8.88,0.12,1.3514,1.0,0.9
836422.BJ,2022/05/11,9.01,9.01,9.01,9.01,9.0,0.01,0.1111,1.0,0.901
836422.BJ,2022/05/13,11.0,14.5,11.0,14.5,9.01,5.49,60.9323,9.5,11.136
836422.BJ,2022/06/20,14.5,14.5,14.5,14.5,14.5,0.0,0.0,14.7,21.315
836422.BJ,2023/03/01,10.2,10.88,9.8,9.81,8.5,1.31,15.4118,153379.61,156429.569
836422.BJ,2023/03/02,9.4,9.4,8.99,9.01,9.81,-0.8,-8.1549,83821.1,76809.023
836422.BJ,2023/03/03,8.99,8.99,8.67,8.79,9.01,-0.22,-2.4417,37123.23,32610.582
836422.BJ,2023/03/06,8.77,8.82,8.64,8.67,8.79,-0.12,-1.3652,18857.29,16391.358
836422.BJ,2023/03/07,8.7,8.72,8.57,8.59,8.67,-0.08,-0.9227,15562.37,13422.58
836422.BJ,2023/03/08,8.54,8.65,8.5,8.56,8.59,-0.03,-0.3492,10051.07,8597.239
836422.BJ,2023/03/09,8.56,8.59,8.51,8.53,8.56,-0.03,-0.3505,7081.87,6043.066
836422.BJ,2023/03/10,8.51,8.52,8.33,8.42,8.53,-0.11,-1.2896,17165.57,14436.324
836422.BJ,2023/03/13,8.35,8.46,8.28,8.45,8.42,0.03,0.3563,9861.72,8241.461
836422.BJ,2023/03/14,8.37,8.53,8.37,8.5,8.45,0.05,0.5917,8509.72,7176.983
