ts_code,x,y
000001.SZ,7.1856747,13.942907
000002.SZ,-2.1689937,-5.0056605
000004.SZ,4.5652356,-2.8879695
000006.SZ,3.5466263,19.272156
000007.SZ,19.599857,-11.722103
000008.SZ,8.050675,16.468998
000009.SZ,5.6503425,3.8843744
000010.SZ,-0.39390743,11.758005
000011.SZ,-5.4745517,22.661812
000012.SZ,6.879496,22.110483
000014.SZ,-2.2173994,-5.0697865
000016.SZ,14.766302,2.4278939
000017.SZ,-16.153746,6.823685
000019.SZ,-5.3029466,18.710764
000020.SZ,-5.1541667,10.636143
000021.SZ,-5.85137,10.591631
000025.SZ,-17.69528,-5.992055
000026.SZ,-15.9819355,6.288478
000027.SZ,-16.342169,3.3953288
000028.SZ,-2.4546578,16.397085
000029.SZ,3.4718971,19.346296
000030.SZ,12.708224,-1.6019136
000031.SZ,-2.1549625,-4.991553
000032.SZ,-0.6061528,11.615999
000034.SZ,4.482152,-3.313459
000035.SZ,-11.378184,8.359963
000036.SZ,-2.1516943,-4.9886365
000037.SZ,-16.41951,3.3160853
000039.SZ,7.7870626,16.244537
000040.SZ,-20.640442,4.454004
000042.SZ,-2.2046418,-5.0582643
000045.SZ,-5.7137775,10.802978
000048.SZ,3.5751362,19.243874
000049.SZ,5.292036,3.0865462
000050.SZ,-6.295166,10.652209
000055.SZ,10.584625,-7.271069
000056.SZ,19.59968,-11.722062
000058.SZ,5.1838946,4.6808405
000059.SZ,-12.790694,-8.418138
000060.SZ,7.788787,-18.622713
000061.SZ,-5.30737,18.715227
000062.SZ,-5.8901095,10.562308
000063.SZ,-11.611939,0.53953475
000065.SZ,-0.22512223,11.810844
000066.SZ,-3.6738396,-12.8256235
000068.SZ,-11.918902,8.505905
000069.SZ,-2.1525831,-4.9903646
000070.SZ,-10.973012,0.14185116
000078.SZ,-2.507066,16.344164
000088.SZ,-8.857596,12.924211
000089.SZ,-10.355216,-2.3453257
000090.SZ,0.73444754,12.291174
000096.SZ,-12.651201,-13.043113
000099.SZ,10.2235775,19.445158
000100.SZ,-6.2982306,10.666026
000151.SZ,-10.481133,-14.719283
000153.SZ,11.522366,-11.985507
000155.SZ,-20.607983,4.486213
000156.SZ,-5.5358443,-4.8425865
000157.SZ,20.13228,6.5133696
000158.SZ,4.361202,-3.2393112
000159.SZ,-12.651223,-13.043095
000166.SZ,15.601941,-10.540334
000301.SZ,7.627924,-12.636763
000333.SZ,14.793497,2.4686425
000338.SZ,12.740731,-1.6246822
000400.SZ,4.7403445,4.083596
000401.SZ,22.781641,3.3946438
000402.SZ,-2.1311443,-4.968909
000403.SZ,6.209241,10.065338
000404.SZ,14.61984,2.1720707
000407.SZ,-0.11758971,21.916996
000408.SZ,3.6654346,14.859419
000409.SZ,4.89368,-3.726499
000410.SZ,0.12621951,-12.323114
000411.SZ,-2.4093018,16.44154
000415.SZ,13.843542,5.9382772
000417.SZ,-12.577527,4.2135687
000419.SZ,-12.446413,4.344006
000420.SZ,7.623177,-12.641673
000421.SZ,0.17111686,22.194334
000422.SZ,3.8129032,14.710843
000423.SZ,-5.7529187,-8.576332
000425.SZ,20.054758,6.435182
000426.SZ,7.78713,-18.6211
000428.SZ,11.0894,-17.96088
000429.SZ,-16.431246,-9.649744
000430.SZ,17.653955,10.3080225
000488.SZ,11.578743,8.204162
000498.SZ,0.37506014,12.173025
000501.SZ,-12.636138,4.1550565
000503.SZ,4.645135,-3.5366786
000504.SZ,0.3961963,-5.97445
000505.SZ,15.543309,12.933531
000506.SZ,3.860268,22.002626
000507.SZ,-8.871377,12.938311
000509.SZ,-5.718892,10.824831
000510.SZ,-2.93189,2.7868798
000513.SZ,11.286237,-11.331922
000514.SZ,3.2327547,19.58198
000516.SZ,-0.05056571,-6.387972
000517.SZ,3.4899554,19.328716
000518.SZ,6.2082577,10.057387
000519.SZ,0.52179044,-1.4522828
000520.SZ,-5.0728064,-2.0831985
000521.SZ,14.621496,2.1694493
000523.SZ,15.67969,12.985185
000524.SZ,-14.344047,-5.946226
000525.SZ,3.7624793,14.761471
000526.SZ,2.5522008,-10.780946
000528.SZ,20.108696,6.4894323
000529.SZ,15.4433565,12.92646
000530.SZ,6.0836663,-8.631511
000531.SZ,-16.380096,3.356886
000532.SZ,13.795678,5.985677
000533.SZ,4.664579,4.011461
000534.SZ,6.191556,10.076739
000536.SZ,-5.342444,10.753675
000537.SZ,-20.607357,4.4868402
000538.SZ,-5.745494,-8.619697
000539.SZ,-16.432348,3.302049
000541.SZ,14.684239,2.6201289
000543.SZ,-16.392921,3.3427978
000544.SZ,-10.947672,8.293025
000545.SZ,-2.9817412,2.8121178
000546.SZ,-12.091247,8.587702
000547.SZ,-11.669009,0.5683767
000548.SZ,-16.42271,-9.656209
000550.SZ,20.375307,-0.3652594
000551.SZ,-0.16620696,-1.4338065
000552.SZ,9.208419,10.105098
000553.SZ,3.4575953,15.069877
000554.SZ,-12.670174,-13.063468
000555.SZ,5.7838206,-3.8178723
000557.SZ,-1.8924243,18.534576
